rule;windows_count;support_mean;support_median;confidence_mean;confidence_median;lift_mean;lift_median;window_share
a->a;1738;0.1423695322278206;0.14741035856573706;0.9029697161092459;0.9047619047619048;6.26640810737308;5.439217758985201;1.0
e->e;1738;0.15167637849064042;0.16334661354581673;0.8918155432507294;0.8936170212765957;5.736932586460827;4.885921231326392;1.0
b->b;1738;0.16199414081304242;0.1593625498007968;0.7919214118172835;0.8;3.9973949150524923;3.873456790123457;1.0
d->d;1738;0.17533089735419657;0.16733067729083664;0.7791121792896029;0.7884615384615384;3.6042630407521377;3.420335429769392;1.0
c->c;1738;0.19125339837428193;0.16733067729083664;0.7506940347032515;0.746150201374082;3.310330103927313;3.2360330578512397;1.0
c->d;194;0.03269396640243151;0.03187250996015936;0.2217258649524907;0.21621621621621623;1.0236035310014375;1.017224955038556;0.11162255466052934
d->c;126;0.03664706254347689;0.035856573705179286;0.2174482169486983;0.21721813725490197;0.8009395310890631;0.8473368342085522;0.07249712313003452
c->b;44;0.02761680550525172;0.027888446215139442;0.21241149971439457;0.21212121212121213;0.7500226663807058;0.7357807239057239;0.02531645569620253
e->d;12;0.016268260292164674;0.01593625498007968;0.2375101099525652;0.23076923076923078;0.8156453061197726;0.7976605452110657;0.006904487917146145
b->c;5;0.02390438247011952;0.02390438247011952;0.20551724137931035;0.20689655172413793;1.240352623299403;1.2364532019704435;0.0028768699654775605
a->b;1;0.0199203187250996;0.0199203187250996;0.20833333333333334;0.20833333333333334;0.9507575757575758;0.9507575757575758;0.0005753739930955121
